;ProductId,RN,price,begintime, endtime, Totalcount, PersonalCount,PersonalDailyCount, saleRate, SaleBeginTime, SaleEndtime," tag(0=none, 2=new, 4=hot)",minHonorScore, ItemID1,num1,day1,ItemID2,num2,day2,ItemID3,num3,day3,ItemID4,num4,day4,ItemID5,num5,day5
30031101,8427,5,0,0,0,0,0,0,0,0,0,20,8427,1,0,,,,,,,,,,,,
30031102,8428,5,0,0,0,0,0,0,0,0,0,20,8428,1,0,,,,,,,,,,,,
30031103,8429,5,0,0,0,0,0,0,0,0,0,20,8429,1,0,,,,,,,,,,,,
30031104,8431,50,0,0,0,0,0,0,0,0,0,100,8431,1,0,,,,,,,,,,,,
30031105,8432,50,0,0,0,0,0,0,0,0,0,100,8432,1,0,,,,,,,,,,,,
30031106,8430,100,0,0,0,0,0,0,0,0,0,250,8430,1,0,,,,,,,,,,,,
30031108,8434,50,0,0,0,0,0,0,0,0,0,100,8434,1,0,,,,,,,,,,,,
30031107,8433,50,0,0,0,0,0,0,0,0,0,100,8433,1,0,,,,,,,,,,,,
30031109,8435,50,0,0,0,0,0,0,0,0,0,100,8435,1,0,,,,,,,,,,,,
30031110,8436,50,0,0,0,0,0,0,0,0,0,100,8436,1,0,,,,,,,,,,,,
30031111,8446,100,0,0,0,0,0,0,0,0,0,250,8446,1,0,,,,,,,,,,,,
30031112,8447,100,0,0,0,0,0,0,0,0,0,250,8447,1,0,,,,,,,,,,,,
30031113,8445,150,0,0,0,0,0,0,0,0,0,500,8445,1,0,,,,,,,,,,,,
30031114,8497,50,0,0,0,0,0,0,0,0,0,100,8497,1,0,,,,,,,,,,,,
30031115,8498,100,0,0,0,0,0,0,0,0,0,250,8498,1,0,,,,,,,,,,,,
30031116,8499,150,0,0,0,0,0,0,0,0,0,500,8499,1,0,,,,,,,,,,,,
30031117,8500,5,0,0,0,0,0,0,0,0,0,20,8500,1,0,,,,,,,,,,,,
